"[idKey]","[TduCompanyName]","[RepCompany]","[Product]","[kwh500]","[kwh1000]","[kwh2000]","[Fees/Credits]","[PrePaid]","[TimeOfUse]","[Fixed]","[RateType]","[Renewable]","[TermValue]","[CancelFee]","[Website]","[SpecialTerms]","[TermsURL]","[Promotion]","[PromotionDesc]","[FactsURL]","[EnrollURL]","[PrepaidURL]","[EnrollPhone]","[NewCustomer]","[MinUsageFeesCredits]","[Language]","[Rating]"
"2024","AEP TEXAS CENTRAL COMPANY","YEP","Your Energy Plan Fixed Rate Autopay E-Plan","0.1250","0.1010","0.0990","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","16","24","175.00","http://www.yeptexas.com/","","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF24&lang=en","False","","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF24&lang=en","https://enroll.yepenergy.com","","(866) 937-5937","FALSE","TRUE","English","4"
"2613","AEP TEXAS CENTRAL COMPANY","TXU ENERGY","Flex Forward","0.1500","0.1360","0.1290","","False","False","0","Variable","6","0","0.00","http://www.txu.com/ptc/flexforward","Evitar cargos por cancelación. ","https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA Spanish.pdf","False","","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXFLXFW0000AL&lang=es&formType=EnergyFactsLabel&custClass=3&tdsp=AEPTCC","http://www.txu.com/ptc/flexforward","","(855) 847-6135","TRUE","FALSE","Spanish","5"
"2667","AEP TEXAS CENTRAL COMPANY","TRIEAGLE ENERGY LP","Eagle 12","0.1170","0.1120","0.1090","","False","False","1","Fixed","6","12","20.00 per month left in term","https://www.trieagleenergy.com","Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!","http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf","False","","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-12mo.pdf","http://www.trieagleenergy.com/default.aspx?webcode=PTC","","(877) 933-2453","FALSE","FALSE","English","2"
"2857","AEP TEXAS CENTRAL COMPANY","SOUTHWEST POWER & LIGHT","Plant-A-Tree Month to Month AutoPay E-Plan","0.1230","0.0990","0.0970","$9.95 for usage less than 1,000 kWh","False","False","0","Variable","16","1","0.00","http://www.southwestpl.com/Sitepage.aspx?cd=SP108"," Every kilowatt hour you use goes toward planting a tree through the Arbor Day Foundation.  Improves our forest, rivers and wildlife while meeting your energy needs.  Sign-up today and protect Texas tomorrow!  Go to www.SouthwestPowerandLight.com.","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOTREE&lang=en","False","","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOTREE&lang=en","https://enroll.southwestpl.com","","(866) 941-7975","TRUE","TRUE","English","4"
"3079","AEP TEXAS CENTRAL COMPANY","TRIEAGLE ENERGY LP","Green Eagle 12","0.1200","0.1150","0.1120","","False","False","1","Fixed","100","12","20.00 per month left in term","https://www.trieagleenergy.com","Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!","http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf","False","","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-12mo.pdf","http://www.trieagleenergy.com/default.aspx?webcode=PTC","","(877) 933-2453","FALSE","FALSE","English","2"
"3125","AEP TEXAS CENTRAL COMPANY","TRIEAGLE ENERGY LP","Eagle 12","0.1170","0.1120","0.1090","","False","False","1","Fixed","6","12","20.00 por cada mes dejado ","https://www.trieagleenergy.com","Por favor, lea atentamente los terminos y condiciones.  No tenemos un minimo mensual, ni cargos extras de medidores AMS, y sin trucos o trampas.","http://www.trieagleenergy.com/esp/Docs/TOS/TX/TOS.pdf","False","","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-12mo-SPAN.pdf","http://www.trieagleenergy.com/default.aspx?webcode=PTC","","(877) 933-2453","FALSE","FALSE","Spanish","2"
"3143","AEP TEXAS CENTRAL COMPANY","TRIEAGLE ENERGY LP","Green Eagle 12","0.1200","0.1150","0.1120","","False","False","1","Fixed","100","12","20.00 por cada mes dejado ","https://www.trieagleenergy.com","Por favor, lea atentamente los terminos y condiciones.  No tenemos un minimo mensual, ni cargos extras de medidores AMS, y sin trucos o trampas.","http://www.trieagleenergy.com/esp/Docs/TOS/TX/TOS.pdf","False","","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-12mo-SPAN.pdf","http://www.trieagleenergy.com/default.aspx?webcode=PTC","","(877) 933-2453","FALSE","FALSE","Spanish","2"
"3197","AEP TEXAS CENTRAL COMPANY","TRIEAGLE ENERGY LP","Eagle 36","0.1130","0.1080","0.1050","","False","False","1","Fixed","6","36","20.00 per month left in term","https://www.trieagleenergy.com","Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!","http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf","False","","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-36mo.pdf","http://www.trieagleenergy.com/default.aspx?webcode=PTC","","(877) 933-2453","FALSE","FALSE","English","2"
"3202","AEP TEXAS CENTRAL COMPANY","TRIEAGLE ENERGY LP","Eagle 36","0.1130","0.1080","0.1050","","False","False","1","Fixed","6","36","20.00 por cada mes dejado ","https://www.trieagleenergy.com","Por favor, lea atentamente los terminos y condiciones.  No tenemos un minimo mensual, ni cargos extras de medidores AMS, y sin trucos o trampas.","http://www.trieagleenergy.com/esp/Docs/TOS/TX/TOS.pdf","False","","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-36mo-SPAN.pdf","http://www.trieagleenergy.com/default.aspx?webcode=PTC","","(877) 933-2453","FALSE","FALSE","Spanish","2"
"3529","AEP TEXAS CENTRAL COMPANY","SOUTHWEST POWER & LIGHT","Sembrar-Un-Árbol a Precio Fijo AutoPay E-Plan","0.1230","0.0990","0.0970","$9.95 para el uso de menos de 1,000 kWh","False","False","0","Variable","16","1","0.00","https://www.southwestpl.com/?lang=es-ES","Por cada hora de consumo (kilovatio/hora) se contribuye un rbol a la fundacin Arbor Day. Mejora los bosques, ros, y vida silvestre a la vez que proveemos sus necesidades de energa. Matriclese hoy y proteja a Tejas maana. Visite www.SouthwestPowerandLight.com","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOTREE&lang=es","False","","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOTREE&lang=es","https://enroll.southwestpl.com","","(866) 941-7975","FALSE","TRUE","Spanish","4"
"3635","AEP TEXAS CENTRAL COMPANY","SOUTHWEST POWER & LIGHT","Renovable Corazón Sano de Texas a Precio Fijo AutoPay E-Plan","0.1240","0.1000","0.0980","$9.95 para el uso de menos de 1,000 kWh","False","False","0","Variable","100","1","0.00","https://www.southwestpl.com/?lang=es-ES","Si elige pagar la factura por cualquier método diferente de un método aprobado por AutoPay (come se indica en Southwest’s AutoPay Enrollment Form) estará sujeto a un cargo adicional de 0.5¢/kWh.","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOGREEN&lang=es","False","","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOGREEN&lang=es","https://enroll.southwestpl.com","","(866) 941-7975","FALSE","TRUE","Spanish","4"
"3641","AEP TEXAS CENTRAL COMPANY","SOUTHWEST POWER & LIGHT","Spirit of Texas a Precio Fijo AutoPay E-Plan","0.1210","0.0970","0.0950","$9.95 para el uso de menos de 1,000 kWh","False","False","0","Variable","16","1","0.00","https://www.southwestpl.com/?lang=es-ES","Si elige pagar la factura por cualquier método diferente de un método aprobado por AutoPay (come se indica en Southwest’s AutoPay Enrollment Form) estará sujeto a un cargo adicional de 0.5¢/kWh.","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMO&lang=es","False","","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMO&lang=es","https://enroll.southwestpl.com","","(866) 941-7975","FALSE","TRUE","Spanish","4"
"4115","AEP TEXAS CENTRAL COMPANY","YEP","Your Energy Plan Fixed Rate Autopay E-Plan","0.1250","0.1010","0.0990","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","16","36","175.00","http://www.yeptexas.com/","","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF36&lang=en","False","","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF36&lang=en","https://enroll.yepenergy.com","","(866) 937-5937","FALSE","TRUE","English","4"
"4125","AEP TEXAS CENTRAL COMPANY","YEP","Operation USO Support Our Troops Month to Month AutoPay E-Plan","0.1240","0.1000","0.0980","$9.95 for usage less than 1,000 kWh","False","False","0","Variable","16","1","0.00","http://www.yeptexas.com/","YEP has partnered with the USO to enable you to directly support our troops and their families, both abroad and domestically. For every 1000 kilowatt hours you consume under YEP's Operation USO Support Our Troops AutoPay E-Plan, a contribution of $3 will be made by YEP to the USO's Warrior and Family Care Program.","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLUSOPROMO&lang=en","False","","https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLUSOPROMO&lang=en","https://enroll.yepenergy.com","","(866) 937-5937","TRUE","TRUE","English","4"
"5705","AEP TEXAS CENTRAL COMPANY","Discount Power","Select 6","0.0890","0.0850","0.0830","","False","False","1","Fixed","12","6","75.00","https://www.discountpowertx.com/resources/public/oe/zipcode.jsp?txtPromocode=WQ4135&language_code=es_US","Facturacion electronica y pago automatico con targeta de credito / targeta de debito o cuenta bancaria. Esta oferta es solo para nuevos clientes que se inscriban a traves de Power to Choose o utilizando el codigo de promocion especial; Codigo de promocion necesario: WQ4135. ","https://www.discountpowertx.com/files/09017518809dd16b.pdf","False","","https://www.discountpowertx.com/files/0901751882be2d45.pdf","https://www.discountpowertx.com/resources/public/oe/zipcode.jsp?txtPromocode=WQ4135&language_code=es_US","","(855) 265-9153","TRUE","FALSE","Spanish","2"
"11115","AEP TEXAS CENTRAL COMPANY","TXU ENERGY","Saver's Deal 12","0.1630","0.1490","0.1090","A $30 bill credit will be applied for each billing cycle in which usage is 1,200 kWh or more.","False","False","1","Fixed","6","12","150.00","http://www.txu.com/ptc/saversdeal12","Get a great low rate that doesn’t change with the seasons and guaranteed price protection for 12 months. TXU Energy Saver's Deal 12SM is a fixed rate plan that has a minimum term of 12 months and an early cancellation fee of $150. The only circumstance in which the price could change during the 12-month minimum term is to reflect actual changes in law or regulatory charges as described in the Electricity Facts Label (EFL). See the Terms of Service Agreement and Electricity Facts Label for more details. This is an online only offer available to new customers.","https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf","False","","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCX30SAVDL12AQ&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=AEPTCC","http://www.txu.com/ptc/saversdeal12","","(855) 847-6135","TRUE","TRUE","English","5"
"11120","AEP TEXAS CENTRAL COMPANY","TXU ENERGY","Saver's Deal 12","0.1630","0.1490","0.1090","Se aplicará un crédito a la factura de $30 por cada ciclo de facturación en el que el consumo sea 1,200 kWh o más.","False","False","1","Fixed","6","12","150.00","http://www.txu.com/ptc/saversdeal12","Obtenga una gran tarifa baja que no cambia con las estaciones, y protección garantizada de precio por 12 meses. TXU Energy Saver's Deal 12SM es un plan de tarifa fija que tiene un término mínimo de 12 meses y un cargo por cancelación anticipada de $150. La única circunstancia en la que el precio podría cambiar durante el término mínimo de 12-meses es para reflejar cambios reales en las leyes o cargos de regulación como se describe en la Etiqueta de Información Sobre la Electricidad (EFL). Consulte el Acuerdo de Términos de Servicio y la Etiqueta de Información Sobre la Electricidad para obtener más detalles. Esta es una oferta sólo en línea disponible a nuevos clientes.","https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA Spanish.pdf","False","","https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCX30SAVDL12AQ&lang=es&formType=EnergyFactsLabel&custClass=3&tdsp=AEPTCC","http://www.txu.com/ptc/saversdeal12","","(855) 847-6135","TRUE","TRUE","Spanish","5"
"11372","AEP TEXAS CENTRAL COMPANY","TRIEAGLE ENERGY LP","Eagle 24","0.1170","0.1120","0.1090","","False","False","1","Fixed","6","24","20.00 per month left in term","http://www.trieagleenergy.com","Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas. Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!","http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf","False","","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-24mo.pdf","http://www.trieagleenergy.com/default.aspx?webcode=PTC","","(877) 933-2453","FALSE","FALSE","English","2"
"11378","AEP TEXAS CENTRAL COMPANY","TRIEAGLE ENERGY LP","Eagle 24","0.1170","0.1120","0.1090","","False","False","1","Fixed","6","24","20.00 per month left in term","http://www.trieagleenergy.com","Por favor, lea atentamente los terminos y condiciones. No tenemos un minimo mensual, ni cargos extras de medidores AMS, y sin trucos o trampas.","http://www.trieagleenergy.com/esp/Docs/TOS/TX/TOS.pdf","False","","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-24mo-span.pdf","http://www.trieagleenergy.com/default.aspx?webcode=PTC","","(877) 933-2453","FALSE","FALSE","Spanish","2"
"11536","AEP TEXAS CENTRAL COMPANY","INFUSE ENERGY LLC","PTC Infusion Flex","0.0900","0.0860","0.0840","$4.95 fee if usage is under 500 kWh in a billing period.","False","False","0","Variable","19","1","0.00","https://www.infuseenergy.com/","Affordable, hassle-free energy from Infuse Energy, the company that has your back. Offer only available for new Infuse Energy customers. This plan is not eligible to be used in conjunction with any referral or promotional codes.","http://dba4d476800d46d49629-8921003a898874cc7b56a2d8016f01f6.r82.cf5.rackcdn.com/Base/TOS-Base-20180913-000000-English%20(Resi%20+%20Sm%20Comm).pdf","False","","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/202012/EFL-20201210-180331-AEPS-PTC Infusion Flex (English).pdf","https://www.infuseenergy.com/signup/signup-step1/?id=1155222&promotion=NONE&valid=N&referral=&landingpage=ptc","","(844) 463-8732","TRUE","TRUE","English","5"
"11540","AEP TEXAS CENTRAL COMPANY","INFUSE ENERGY LLC","PTC Lean Green Infusion 12","0.1240","0.0650","0.1050","$4.95 fee if usage is under 500 kWh in a billing period. $55.00 bill credit per billing cycle if your usage is greater than 999 and less than 1,501 kWh in a billing period. $25.00 bill credit per billing cycle if your usage is greater than 1,500 and less than 2,001 kWh in a billing period.","False","False","1","Fixed","100","12","200.00","https://www.infuseenergy.com/","Warning! This plan, like many others you will find on Power To Choose, includes a bill credit for reaching a usage threshold. Depending on your monthly usage levels, these types 
of plans may or may not provide you with the best pricing. Go to www.infuseenergy.com to see traditional plans, or contact Infuse Energy at 844-463-8732 and we can discuss your 
options with you. If you are comfortable with this structure, click the 'sign up' link to begin the enrollment process. Offer only available for new Infuse Energy customers. This plan is not eligible to be used in conjunction with any referral or promotional codes.","http://dba4d476800d46d49629-8921003a898874cc7b56a2d8016f01f6.r82.cf5.rackcdn.com/Base/TOS-Base-20180913-000000-English%20(Resi%20+%20Sm%20Comm).pdf","False","","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/202012/EFL-20201210-104307-AEPS-PTC Lean Green Infusion 12 (English).pdf","https://www.infuseenergy.com/signup/signup-step1/?id=1154958&promotion=NONE&valid=N&referral=&landingpage=ptc","","(844) 463-8732","TRUE","TRUE","English","5"
"11618","AEP TEXAS CENTRAL COMPANY","INFUSE ENERGY LLC","PTC Green Infusion Flex","0.0910","0.0870","0.0850","$4.95 fee if usage is under 500 kWh in a billing period.","False","False","0","Variable","100","1","0.00","https://www.infuseenergy.com/","100% green energy from Infuse Energy, the company that has your back. Offer only available for new Infuse Energy customers. This plan is not eligible to be used in conjunction with any referral or promotional codes.","http://dba4d476800d46d49629-8921003a898874cc7b56a2d8016f01f6.r82.cf5.rackcdn.com/Base/TOS-Base-20180913-000000-English%20(Resi%20+%20Sm%20Comm).pdf","False","","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/202012/EFL-20201210-180331-AEPS-PTC Green Infusion Flex (English).pdf","https://www.infuseenergy.com/signup/signup-step1/?id=1155217&promotion=NONE&valid=N&referral=&landingpage=ptc","","(844) 463-8732","TRUE","TRUE","English","5"
"11677","AEP TEXAS CENTRAL COMPANY","CIRRO ENERGY","Smart Simple 36","0.1010","0.0970","0.0950","","False","False","1","Fixed","12","36","250.00","https://www.cirroenergy.com","Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only","https://www.cirroenergy.com/files/0901751880b58ee7.pdf","False","","https://www.cirroenergy.com/files/0901751882b50b4d.pdf","https://www.cirroenergy.com/signup/plans?tdsp_code=D0004&promo_code=WA198B&fromLP=ptc","","(844) 417-7180","TRUE","FALSE","English","2"
"11682","AEP TEXAS CENTRAL COMPANY","CIRRO ENERGY","Smart Simple 12","0.1040","0.1000","0.0980","","False","False","1","Fixed","12","12","150.00","https://www.cirroenergy.com","Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only","https://www.cirroenergy.com/files/0901751880b58ee7.pdf","False","","https://www.cirroenergy.com/files/0901751882bddc0b.pdf","https://www.cirroenergy.com/signup/plans?tdsp_code=D0004&promo_code=WA198B&fromLP=ptc","","(844) 417-7180","TRUE","FALSE","English","2"
"11725","AEP TEXAS CENTRAL COMPANY","THINK ENERGY","THINK SIMPLE 06 Power to Choose ONLINE EXCLUSIVE","0.1020","0.0980","0.0960","","False","False","1","Fixed","6","6","55.00","https://www.mythinkenergy.com/","THINK SIMPLE 06 Online Enrollment Special - NO HIDDEN FEES - NO MONTHLY FEES - NO TIERED USAGE OR OTHER TRICKS - We are BBB rated A+ and a 4-Star Company on TrustPilot. Click History link under star rating to review and compare complaint history.  This online offer is only available for new customers who enroll through the Power to Choose website.","https://www.mythinkenergy.com/signup/PDFTemplates/contract_api/index.php/contract/TC/state/TX/customer_type/RESI/service/Electric/plan_code/FP10","False","","https://www.mythinkenergy.com/signup/includes/eflptc.php?utility=AEP_TCC&term=6&ZipCode=77414&promocode=tx2ss4qd","https://www.mythinkenergy.com/?promo=tx2ss4qd","","(888) 531-5047","TRUE","FALSE","English","1"
"12294","AEP TEXAS CENTRAL COMPANY","INFUSE ENERGY LLC","Keep It Simple Savings Flex","0.0960","0.0880","0.0840","","False","False","0","Variable","19","1","0.00","https://www.infuseenergy.com/","Affordable, hassle-free energy from Infuse Energy, the company that has your back. Offer only available for new Infuse Energy customers. This plan is not eligible to be used in conjunction with any referral or promotional codes.","http://dba4d476800d46d49629-8921003a898874cc7b56a2d8016f01f6.r82.cf5.rackcdn.com/Base/TOS-Base-20180913-000000-English%20(Resi%20+%20Sm%20Comm).pdf","False","","https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/202012/EFL-20201210-180331-AEPS-Keep It Simple Savings Flex (English).pdf","https://www.infuseenergy.com/signup/signup-step1/?id=1155212&promotion=NONE&valid=N&referral=&landingpage=ptc","","(844) 463-8732","TRUE","FALSE","English","5"
